16899,2025-01-27 07:16:51.917974,2025-01-27 07:16:51.917979,bitcoin,null,btc,Bitcoin,btc bitcoin,1
16900,2025-01-27 07:16:51.918637,2025-01-27 07:16:51.918639,ethereum,null,eth,Ethereum,eth ethereum,2
16901,2025-01-27 07:16:51.918713,2025-01-27 07:16:51.918714,ripple,null,xrp,XRP,xrp xrp,3
16902,2025-01-27 07:16:51.91877,2025-01-27 07:16:51.91877,tether,null,usdt,Tether,usdt tether,4
16903,2025-01-27 07:16:51.918822,2025-01-27 07:16:51.918822,solana,null,sol,Solana,sol solana,5
16904,2025-01-27 07:16:51.918874,2025-01-27 07:16:51.918875,binancecoin,null,bnb,BNB,bnb bnb,6
16905,2025-01-27 07:16:51.918922,2025-01-27 07:16:51.918923,usd-coin,null,usdc,USDC,usdc usdc,7
16906,2025-01-27 07:16:51.918969,2025-01-27 07:16:51.91897,dogecoin,null,doge,Dogecoin,doge dogecoin,8
16907,2025-01-27 07:16:51.919019,2025-01-27 07:16:51.919019,cardano,null,ada,Cardano,ada cardano,9
16908,2025-01-27 07:16:51.919066,2025-01-27 07:16:51.919067,staked-ether,null,steth,Lido Staked Ether,steth lido staked ether,10
16909,2025-01-27 07:16:51.919114,2025-01-27 07:16:51.919115,tron,null,trx,TRON,trx tron,11
16910,2025-01-27 07:16:51.919163,2025-01-27 07:16:51.919164,chainlink,null,link,Chainlink,link chainlink,12
16911,2025-01-27 07:16:51.919215,2025-01-27 07:16:51.919216,avalanche-2,null,avax,Avalanche,avax avalanche,13
16912,2025-01-27 07:16:51.919262,2025-01-27 07:16:51.919263,wrapped-bitcoin,null,wbtc,Wrapped Bitcoin,wbtc wrapped bitcoin,14
16913,2025-01-27 07:16:51.919309,2025-01-27 07:16:51.91931,wrapped-steth,null,wsteth,Wrapped stETH,wsteth wrapped steth,15
16914,2025-01-27 07:16:51.91936,2025-01-27 07:16:51.919361,the-open-network,null,ton,Toncoin,ton toncoin,16
16915,2025-01-27 07:16:51.919406,2025-01-27 07:16:51.919407,stellar,null,xlm,Stellar,xlm stellar,17
16916,2025-01-27 07:16:51.919452,2025-01-27 07:16:51.919452,hedera-hashgraph,null,hbar,Hedera,hbar hedera,18
16917,2025-01-27 07:16:51.919499,2025-01-27 07:16:51.9195,sui,null,sui,Sui,sui sui,19
16918,2025-01-27 07:16:51.919545,2025-01-27 07:16:51.919546,shiba-inu,null,shib,Shiba Inu,shib shiba inu,20
16919,2025-01-27 07:16:51.919591,2025-01-27 07:16:51.919592,weth,null,weth,WETH,weth weth,21
16920,2025-01-27 07:16:51.919637,2025-01-27 07:16:51.919638,leo-token,null,leo,LEO Token,leo leo token,22
16921,2025-01-27 07:16:51.919685,2025-01-27 07:16:51.919685,polkadot,null,dot,Polkadot,dot polkadot,23
16922,2025-01-27 07:16:51.919731,2025-01-27 07:16:51.919731,litecoin,null,ltc,Litecoin,ltc litecoin,24
16923,2025-01-27 07:16:51.919776,2025-01-27 07:16:51.919777,bitcoin-cash,null,bch,Bitcoin Cash,bch bitcoin cash,25
16924,2025-01-27 07:16:51.919822,2025-01-27 07:16:51.919823,bitget-token,null,bgb,Bitget Token,bgb bitget token,26
16925,2025-01-27 07:16:51.919868,2025-01-27 07:16:51.919869,hyperliquid,null,hype,Hyperliquid,hype hyperliquid,27
16926,2025-01-27 07:16:51.919915,2025-01-27 07:16:51.919916,usds,null,usds,USDS,usds usds,28
16927,2025-01-27 07:16:51.919961,2025-01-27 07:16:51.919961,uniswap,null,uni,Uniswap,uni uniswap,29
16928,2025-01-27 07:16:51.920006,2025-01-27 07:16:51.920007,wrapped-eeth,null,weeth,Wrapped eETH,weeth wrapped eeth,30
16929,2025-01-27 07:16:51.920052,2025-01-27 07:16:51.920052,ethena-usde,null,usde,Ethena USDe,usde ethena usde,31
16930,2025-01-27 07:16:51.920098,2025-01-27 07:16:51.920098,near,null,near,NEAR Protocol,near near protocol,32
16931,2025-01-27 07:16:51.920143,2025-01-27 07:16:51.920144,pepe,null,pepe,Pepe,pepe pepe,33
16932,2025-01-27 07:16:51.920188,2025-01-27 07:16:51.920189,official-trump,null,trump,Official Trump,trump official trump,34
16933,2025-01-27 07:16:51.920234,2025-01-27 07:16:51.920234,aave,null,aave,Aave,aave aave,35
16934,2025-01-27 07:16:51.920279,2025-01-27 07:16:51.92028,mantra-dao,null,om,MANTRA,om mantra,36
16935,2025-01-27 07:16:51.920324,2025-01-27 07:16:51.920325,aptos,null,apt,Aptos,apt aptos,37
16936,2025-01-27 07:16:51.92037,2025-01-27 07:16:51.92037,ondo-finance,null,ondo,Ondo,ondo ondo,38
16937,2025-01-27 07:16:51.920415,2025-01-27 07:16:51.920416,internet-computer,null,icp,Internet Computer,icp internet computer,39
16938,2025-01-27 07:16:51.920461,2025-01-27 07:16:51.920462,whitebit,null,wbt,WhiteBIT Coin,wbt whitebit coin,40
16939,2025-01-27 07:16:51.920508,2025-01-27 07:16:51.920509,monero,null,xmr,Monero,xmr monero,41
16940,2025-01-27 07:16:51.920554,2025-01-27 07:16:51.920554,ethereum-classic,null,etc,Ethereum Classic,etc ethereum classic,42
16941,2025-01-27 07:16:51.920602,2025-01-27 07:16:51.920603,mantle,null,mnt,Mantle,mnt mantle,43
16942,2025-01-27 07:16:51.920648,2025-01-27 07:16:51.920649,dai,null,dai,Dai,dai dai,44
16943,2025-01-27 07:16:51.920693,2025-01-27 07:16:51.920694,vechain,null,vet,VeChain,vet vechain,45
16944,2025-01-27 07:16:51.920739,2025-01-27 07:16:51.920739,crypto-com-chain,null,cro,Cronos,cro cronos,46
16945,2025-01-27 07:16:51.920784,2025-01-27 07:16:51.920784,polygon-ecosystem-token,null,pol,POL (ex-MATIC),pol pol (ex-matic),47
16946,2025-01-27 07:16:51.920829,2025-01-27 07:16:51.92083,bittensor,null,tao,Bittensor,tao bittensor,48
16947,2025-01-27 07:16:51.920879,2025-01-27 07:16:51.92088,render-token,null,render,Render,render render,49
16948,2025-01-27 07:16:51.920924,2025-01-27 07:16:51.920925,kaspa,null,kas,Kaspa,kas kaspa,50
16949,2025-01-27 07:16:51.920969,2025-01-27 07:16:51.92097,okb,null,okb,OKB,okb okb,51
16950,2025-01-27 07:16:51.921015,2025-01-27 07:16:51.921015,algorand,null,algo,Algorand,algo algorand,52
16951,2025-01-27 07:16:51.921063,2025-01-27 07:16:51.921064,fetch-ai,null,fet,Artificial Superintelligence Alliance,fet artificial superintelligence alliance,53
16952,2025-01-27 07:16:51.92111,2025-01-27 07:16:51.921111,filecoin,null,fil,Filecoin,fil filecoin,54
16953,2025-01-27 07:16:51.921157,2025-01-27 07:16:51.921157,arbitrum,null,arb,Arbitrum,arb arbitrum,55
16954,2025-01-27 07:16:51.921202,2025-01-27 07:16:51.921202,gatechain-token,null,gt,Gate,gt gate,56
16955,2025-01-27 07:16:51.921247,2025-01-27 07:16:51.921248,cosmos,null,atom,Cosmos Hub,atom cosmos hub,57
16956,2025-01-27 07:16:51.921294,2025-01-27 07:16:51.921294,tokenize-xchange,null,tkx,Tokenize Xchange,tkx tokenize xchange,58
16957,2025-01-27 07:16:51.92134,2025-01-27 07:16:51.921341,coinbase-wrapped-btc,null,cbbtc,Coinbase Wrapped BTC,cbbtc coinbase wrapped btc,59
16958,2025-01-27 07:16:51.921389,2025-01-27 07:16:51.92139,ethena,null,ena,Ethena,ena ethena,60
16959,2025-01-27 07:16:51.921475,2025-01-27 07:16:51.921475,celestia,null,tia,Celestia,tia celestia,61
16960,2025-01-27 07:16:51.921521,2025-01-27 07:16:51.921522,bonk,null,bonk,Bonk,bonk bonk,62
16961,2025-01-27 07:16:51.921569,2025-01-27 07:16:51.92157,raydium,null,ray,Raydium,ray raydium,64
16962,2025-01-27 07:16:51.921621,2025-01-27 07:16:51.921622,immutable-x,null,imx,Immutable,imx immutable,63
16963,2025-01-27 07:16:51.921755,2025-01-27 07:16:51.921759,optimism,null,op,Optimism,op optimism,65
16964,2025-01-27 07:16:51.921843,2025-01-27 07:16:51.921844,blockstack,null,stx,Stacks,stx stacks,66
16965,2025-01-27 07:16:51.921896,2025-01-27 07:16:51.921896,binance-peg-weth,null,weth,Binance-Peg WETH,weth binance-peg weth,67
16966,2025-01-27 07:16:51.921944,2025-01-27 07:16:51.921945,injective-protocol,null,inj,Injective,inj injective,68
16967,2025-01-27 07:16:51.921991,2025-01-27 07:16:51.921992,first-digital-usd,null,fdusd,First Digital USD,fdusd first digital usd,69
16968,2025-01-27 07:16:51.922041,2025-01-27 07:16:51.922042,theta-token,null,theta,Theta Network,theta theta network,70
16969,2025-01-27 07:16:51.92209,2025-01-27 07:16:51.922091,worldcoin-wld,null,wld,Worldcoin,wld worldcoin,71
16970,2025-01-27 07:16:51.922137,2025-01-27 07:16:51.922138,binance-staked-sol,null,bnsol,Binance Staked SOL,bnsol binance staked sol,72
16971,2025-01-27 07:16:51.922186,2025-01-27 07:16:51.922187,lombard-staked-btc,null,lbtc,Lombard Staked BTC,lbtc lombard staked btc,73
16972,2025-01-27 07:16:51.922232,2025-01-27 07:16:51.922233,kelp-dao-restaked-eth,null,rseth,Kelp DAO Restaked ETH,rseth kelp dao restaked eth,74
16973,2025-01-27 07:16:51.922281,2025-01-27 07:16:51.922281,lido-dao,null,ldo,Lido DAO,ldo lido dao,75
16974,2025-01-27 07:16:51.922326,2025-01-27 07:16:51.922327,movement,null,move,Movement,move movement,76
16975,2025-01-27 07:16:51.922383,2025-01-27 07:16:51.922384,fasttoken,null,ftn,Fasttoken,ftn fasttoken,77
16976,2025-01-27 07:16:51.922432,2025-01-27 07:16:51.922433,the-graph,null,grt,The Graph,grt the graph,78
16977,2025-01-27 07:16:51.922478,2025-01-27 07:16:51.922478,jupiter-exchange-solana,null,jup,Jupiter,jup jupiter,79
16978,2025-01-27 07:16:51.922523,2025-01-27 07:16:51.922524,xdce-crowd-sale,null,xdc,XDC Network,xdc xdc network,80
16979,2025-01-27 07:16:51.922568,2025-01-27 07:16:51.922569,rocket-pool-eth,null,reth,Rocket Pool ETH,reth rocket pool eth,81
16980,2025-01-27 07:16:51.922617,2025-01-27 07:16:51.922617,kucoin-shares,null,kcs,KuCoin,kcs kucoin,82
16981,2025-01-27 07:16:51.922662,2025-01-27 07:16:51.922663,susds,null,susds,sUSDS,susds susds,83
16982,2025-01-27 07:16:51.922708,2025-01-27 07:16:51.922709,sonic-3,null,s,Sonic (prev. FTM),s sonic (prev. ftm),84
16983,2025-01-27 07:16:51.922756,2025-01-27 07:16:51.922757,quant-network,null,qnt,Quant,qnt quant,85
